idx: 11, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 12, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 13, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 14, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 15, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 16, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 17, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 18, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 19, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 20, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 21, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 22, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 23, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 24, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 25, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 26, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 27, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 28, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 29, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 30, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 31, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 32, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 33, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 34, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 35, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 36, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 37, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 38, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 39, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 40, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 41, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 42, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 43, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 44, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 45, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 46, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 47, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 48, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 49, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 50, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 51, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 52, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 53, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 54, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 55, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 56, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 57, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 58, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 59, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 60, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 61, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 62, acc: 1.0000, auroc: 0.0000, f1: 1.0000
